abstract,field,search_word,title
"  Deep language models have achieved remarkable success in the NLP domain. The
standard way to train a deep language model is to employ unsupervised learning
from scratch on a large unlabeled corpus. However, such large corpora are only
available for widely-adopted and high-resource languages and domains. This
study presents the first deep language model, DPRK-BERT, for the DPRK language.
We achieve this by compiling the first unlabeled corpus for the DPRK language
and fine-tuning a preexisting the ROK language model. We compare the proposed
model with existing approaches and show significant improvements on two DPRK
datasets. We also present a cross-lingual version of this model which yields
better generalization across the two Korean languages. Finally, we provide
various NLP tools related to the DPRK language that would foster future
research.

    ", Computation and Language,unsupervised learning,DPRK-BERT: The Supreme Language Model
"  Vaccine hesitancy and other COVID-19-related concerns and complaints in the
Philippines are evident on social media. It is important to identify these
different topics and sentiments in order to gauge public opinion, use the
insights to develop policies, and make necessary adjustments or actions to
improve public image and reputation of the administering agency and the
COVID-19 vaccines themselves. This paper proposes a semi-supervised machine
learning pipeline to perform topic modeling, sentiment analysis, and an
analysis of vaccine brand reputation to obtain an in-depth understanding of
national public opinion of Filipinos on Facebook. The methodology makes use of
a multilingual version of Bidirectional Encoder Representations from
Transformers or BERT for topic modeling, hierarchical clustering, five
different classifiers for sentiment analysis, and cosine similarity of BERT
topic embeddings for vaccine brand reputation analysis. Results suggest that
any type of COVID-19 misinformation is an emergent property of COVID-19 public
opinion, and that the detection of COVID-19 misinformation can be an
unsupervised task. Sentiment analysis aided by hierarchical clustering reveal
that 21 of the 25 topics extrapolated by topic modeling are negative topics.
Such negative comments spike in count whenever the Department of Health in the
Philippines posts about the COVID-19 situation in other countries.
Additionally, the high numbers of laugh reactions on the Facebook posts by the
same agency -- without any humorous content -- suggest that the reactors of
these posts tend to react the way they do, not because of what the posts are
about but because of who posted them.

    ", Computers and Society,unsupervised learning,"Topic Modeling, Clade-assisted Sentiment Analysis, and Vaccine Brand Reputation Analysis of COVID-19 Vaccine-related Facebook Comments in the Philippines"
"  Accurate cardiac computing, analysis and modeling from multi-modality images
are important for the diagnosis and treatment of cardiac disease. Late
gadolinium enhancement magnetic resonance imaging (LGE MRI) is a promising
technique to visualize and quantify myocardial infarction (MI) and atrial
scars. Automating quantification of MI and atrial scars can be challenging due
to the low image quality and complex enhancement patterns of LGE MRI. Moreover,
compared with the other sequences LGE MRIs with gold standard labels are
particularly limited, which represents another obstacle for developing novel
algorithms for automatic segmentation and quantification of LGE MRIs. This
chapter aims to summarize the state-of-the-art and our recent advanced
contributions on deep learning based multi-modality cardiac image analysis.
Firstly, we introduce two benchmark works for multi-sequence cardiac MRI based
myocardial and pathology segmentation. Secondly, two novel frameworks for left
atrial scar segmentation and quantification from LGE MRI were presented.
Thirdly, we present three unsupervised domain adaptation techniques for
cross-modality cardiac image segmentation.

    ", Image and Video Processing,unsupervised learning,Multi-Modality Cardiac Image Analysis with Deep Learning
"  As Automatic Speech Processing (ASR) systems are getting better, there is an
increasing interest of using the ASR output to do downstream Natural Language
Processing (NLP) tasks. However, there are few open source toolkits that can be
used to generate reproducible results on different Spoken Language
Understanding (SLU) benchmarks. Hence, there is a need to build an open source
standard that can be used to have a faster start into SLU research. We present
ESPnet-SLU, which is designed for quick development of spoken language
understanding in a single framework. ESPnet-SLU is a project inside end-to-end
speech processing toolkit, ESPnet, which is a widely used open-source standard
for various speech processing tasks like ASR, Text to Speech (TTS) and Speech
Translation (ST). We enhance the toolkit to provide implementations for various
SLU benchmarks that enable researchers to seamlessly mix-and-match different
ASR and NLU models. We also provide pretrained models with intensively tuned
hyper-parameters that can match or even outperform the current state-of-the-art
performances. The toolkit is publicly available at
", Computation and Language,natural language processing,ESPnet-SLU: Advancing Spoken Language Understanding through ESPnet
"  Data augmentation (DA) is a common solution to data scarcity and imbalance
problems, which is an area getting increasing attentions from the Natural
Language Processing (NLP) community. While various DA techniques have been used
in NLP research, little is known about the role of linguistic knowledge in DA
for NLP; in particular, whether more linguistic knowledge leads to a better DA
approach. To investigate that, we designed two adapted DA programs and applied
them to LCQMC (a Large-scale Chinese Question Matching Corpus) for a binary
Chinese question matching classification task. The two DA programs produce
augmented texts by five simple text editing operations, largely irrespective of
language generation rules, but one is enhanced with a n-gram language model to
make it fused with extra linguistic knowledge. We then trained four neural
network models and a pre-trained model on the LCQMC train sets of varying size
as well as the corresponding augmented trained sets produced by the two DA
programs. The test set performances of the five classification models show that
adding probabilistic linguistic knowledge as constrains does not make the base
DA program better, since there are no discernible performance differences
between the models trained on the two types of augmented train sets. Instead,
since the added linguistic knowledge decreases the diversity of the augmented
texts, the trained models generalizability is hampered. Moreover, models
trained on both types of the augmented trained sets were found to be
outperformed by those directly trained on the associated un-augmented train
sets, due to the inability of the underlying text editing operations to make
paraphrastic augmented texts. We concluded that the validity and diversity of
the augmented texts are two important factors for a DA approach or technique to
be effective and proposed a possible paradigm shift for text augmentation.

    ", Computation and Language,natural language processing,Linguistic Knowledge in Data Augmentation for Natural Language Processing: An Example on Chinese Question Matching
"  Computational Humour (CH) has attracted the interest of Natural Language
Processing and Computational Linguistics communities. Creating datasets for
automatic measurement of humour quotient is difficult due to multiple possible
interpretations of the content. In this work, we create a multi-modal
humour-annotated dataset ($\sim$40 hours) using stand-up comedy clips. We
devise a novel scoring mechanism to annotate the training data with a humour
quotient score using the audience's laughter. The normalized duration (laughter
duration divided by the clip duration) of laughter in each clip is used to
compute this humour coefficient score on a five-point scale (0-4). This method
of scoring is validated by comparing with manually annotated scores, wherein a
quadratic weighted kappa of 0.6 is obtained. We use this dataset to train a
model that provides a ""funniness"" score, on a five-point scale, given the audio
and its corresponding text. We compare various neural language models for the
task of humour-rating and achieve an accuracy of $0.813$ in terms of Quadratic
Weighted Kappa (QWK). Our ""Open Mic"" dataset is released for further research
along with the code.

    ", Computation and Language,natural language processing,"""So You Think You're Funny?"": Rating the Humour Quotient in Standup Comedy"
"  Transformers have achieved remarkable performance in a myriad of fields
including natural language processing and computer vision. However, when it
comes to the graph mining area, where graph neural network (GNN) has been the
dominant paradigm, transformers haven't achieved competitive performance,
especially on the node classification task. Existing graph transformer models
typically adopt fully-connected attention mechanism on the whole input graph
and thus suffer from severe scalability issues and are intractable to train in
data insufficient cases. To alleviate these issues, we propose a novel
Gophormer model which applies transformers on ego-graphs instead of
full-graphs. Specifically, Node2Seq module is proposed to sample ego-graphs as
the input of transformers, which alleviates the challenge of scalability and
serves as an effective data augmentation technique to boost model performance.
Moreover, different from the feature-based attention strategy in vanilla
transformers, we propose a proximity-enhanced attention mechanism to capture
the fine-grained structural bias. In order to handle the uncertainty introduced
by the ego-graph sampling, we further propose a consistency regularization and
a multi-sample inference strategy for stabilized training and testing,
respectively. Extensive experiments on six benchmark datasets are conducted to
demonstrate the superiority of Gophormer over existing graph transformers and
popular GNNs, revealing the promising future of graph transformers.

    ", Machine Learning,natural language processing,Gophormer: Ego-Graph Transformer for Node Classification
"  Deep reinforcement learning is an effective tool to learn robot control
policies from scratch. However, these methods are notorious for the enormous
amount of required training data which is prohibitively expensive to collect on
real robots. A highly popular alternative is to learn from simulations,
allowing to generate the data much faster, safer, and cheaper. Since all
simulators are mere models of reality, there are inevitable differences between
the simulated and the real data, often referenced as the 'reality gap'. To
bridge this gap, many approaches learn one policy from a distribution over
simulators. In this paper, we propose to combine reinforcement learning from
randomized physics simulations with policy distillation. Our algorithm, called
Distilled Domain Randomization (DiDoR), distills so-called teacher policies,
which are experts on domains that have been sampled initially, into a student
policy that is later deployed. This way, DiDoR learns controllers which
transfer directly from simulation to reality, i.e., without requiring data from
the target domain. We compare DiDoR against three baselines in three sim-to-sim
as well as two sim-to-real experiments. Our results show that the target domain
performance of policies trained with DiDoR is en par or better than the
baselines'. Moreover, our approach neither increases the required memory
capacity nor the time to compute an action, which may well be a point of
failure for successfully deploying the learned controller.

    ", Machine Learning,reinforcement learning,Distilled Domain Randomization
"  We propose a simple architecture for deep reinforcement learning by embedding
inputs into a learned Fourier basis and show that it improves the sample
efficiency of both state-based and image-based RL. We perform infinite-width
analysis of our architecture using the Neural Tangent Kernel and theoretically
show that tuning the initial variance of the Fourier basis is equivalent to
functional regularization of the learned deep network. That is, these learned
Fourier features allow for adjusting the degree to which networks underfit or
overfit different frequencies in the training data, and hence provide a
controlled mechanism to improve the stability and performance of RL
optimization. Empirically, this allows us to prioritize learning low-frequency
functions and speed up learning by reducing networks' susceptibility to noise
in the optimization process, such as during Bellman updates. Experiments on
standard state-based and image-based RL benchmarks show clear benefits of our
architecture over the baselines. Website at
", Machine Learning,reinforcement learning,Functional Regularization for Reinforcement Learning via Learned Fourier Features
"  Federated learning (FL) is a distributed machine learning technology for
next-generation AI systems that allows a number of workers, i.e., edge devices,
collaboratively learn a shared global model while keeping their data locally to
prevent privacy leakage. Enabling FL over wireless multi-hop networks can
democratize AI and make it accessible in a cost-effective manner. However, the
noisy bandwidth-limited multi-hop wireless connections can lead to delayed and
nomadic model updates, which significantly slows down the FL convergence speed.
To address such challenges, this paper aims to accelerate FL convergence over
wireless edge by optimizing the multi-hop federated networking performance. In
particular, the FL convergence optimization problem is formulated as a Markov
decision process (MDP). To solve such MDP, multi-agent reinforcement learning
(MA-RL) algorithms along with domain-specific action space refining schemes are
developed, which online learn the delay-minimum forwarding paths to minimize
the model exchange latency between the edge devices (i.e., workers) and the
remote server. To validate the proposed solutions, FedEdge is developed and
implemented, which is the first experimental framework in the literature for FL
over multi-hop wireless edge computing networks. FedEdge allows us to fast
prototype, deploy, and evaluate novel FL algorithms along with RL-based system
optimization methods in real wireless devices. Moreover, a physical
experimental testbed is implemented by customizing the widely adopted Linux
wireless routers and ML computing nodes.Finally, our experimentation results on
the testbed show that the proposed network-accelerated FL system can
practically and significantly improve FL convergence speed, compared to the FL
system empowered by the production-grade commercially available wireless
networking protocol, BATMAN-Adv.

    ", Networking and Internet Architecture,reinforcement learning,EdgeML: Towards Network-Accelerated Federated Learning over Wireless Edge
"  In this study, we present a meta-learning model to adapt the predictions of
the network's capacity between viewers who participate in a live video
streaming event. We propose the MELANIE model, where an event is formulated as
a Markov Decision Process, performing meta-learning on reinforcement learning
tasks. By considering a new event as a task, we design an actor-critic learning
scheme to compute the optimal policy on estimating the viewers' high-bandwidth
connections. To ensure fast adaptation to new connections or changes among
viewers during an event, we implement a prioritized replay memory buffer based
on the Kullback-Leibler divergence of the reward/throughput of the viewers'
connections. Moreover, we adopt a model-agnostic meta-learning framework to
generate a global model from past events. As viewers scarcely participate in
several events, the challenge resides on how to account for the low structural
similarity of different events. To combat this issue, we design a graph
signature buffer to calculate the structural similarities of several streaming
events and adjust the training of the global model accordingly. We evaluate the
proposed model on the link weight prediction task on three real-world datasets
of live video streaming events. Our experiments demonstrate the effectiveness
of our proposed model, with an average relative gain of 25% against
state-of-the-art strategies. For reproduction purposes, our evaluation datasets
and implementation are publicly available at
", Networking and Internet Architecture,reinforcement learning,Meta-Reinforcement Learning via Buffering Graph Signatures for Live Video Streaming Events
"  This paper proposes a deep reinforcement learning-based video streaming
scheme for mobility-aware vehicular networks, e.g., vehicles on the highway. We
consider infrastructure-assisted and mmWave-based scenarios in which the macro
base station (MBS) cannot directly provide the streaming service to vehicles
due to the short range of mmWave beams so that small mmWave base stations
(mBSs) along the road deliver the desired videos to users. For a smoother
streaming service, the MBS proactively pushes video chunks to mBSs. This is
done to support vehicles that are currently covered and/or will be by each mBS.
We formulate the dynamic video delivery scheme that adaptively determines 1)
which content, 2) what quality and 3) how many chunks to be proactively
delivered from the MBS to mBSs using Markov decision process (MDP). Since it is
difficult for the MBS to track all the channel conditions and the network
states have extensive dimensions, we adopt the deep deterministic policy
gradient (DDPG) algorithm for the DRL-based video delivery scheme. This paper
finally shows that the DRL agent learns a streaming policy that pursues high
average quality while limiting packet drops, avoiding playback stalls, reducing
quality fluctuations and saving backhaul usage.

    ", Networking and Internet Architecture,reinforcement learning,Quality-Aware Deep Reinforcement Learning for Streaming in Infrastructure-Assisted Connected Vehicles
"  In this paper, we present a comparative study on the robustness of two
different online streaming speech recognition models: Monotonic Chunkwise
Attention (MoChA) and Recurrent Neural Network-Transducer (RNN-T). We explore
three recently proposed data augmentation techniques, namely, multi-conditioned
training using an acoustic simulator, Vocal Tract Length Perturbation (VTLP)
for speaker variability, and SpecAugment. Experimental results show that
unidirectional models are in general more sensitive to noisy examples in the
training set. It is observed that the final performance of the model depends on
the proportion of training examples processed by data augmentation techniques.
MoChA models generally perform better than RNN-T models. However, we observe
that training of MoChA models seems to be more sensitive to various factors
such as the characteristics of training sets and the incorporation of
additional augmentations techniques. On the other hand, RNN-T models perform
better than MoChA models in terms of latency, inference time, and the stability
of training. Additionally, RNN-T models are generally more robust against noise
and reverberation. All these advantages make RNN-T models a better choice for
streaming on-device speech recognition compared to MoChA models.

    ", Audio and Speech Processing,recurrent neural networks,A comparison of streaming models and data augmentation methods for robust speech recognition
"  Cosmological analyses of samples of photometrically-identified Type Ia
supernovae (SNe Ia) depend on understanding the effects of 'contamination' from
core-collapse and peculiar SN Ia events. We employ a rigorous analysis on
state-of-the-art simulations of photometrically identified SN Ia samples and
determine cosmological biases due to such 'non-Ia' contamination in the Dark
Energy Survey (DES) 5-year SN sample. As part of the analysis, we test on our
DES simulations the performance of SuperNNova, a photometric SN classifier
based on recurrent neural networks. Depending on the choice of non-Ia SN models
in both the simulated data sample and training sample, contamination ranges
from 0.8-3.5 %, with the efficiency of the classification from 97.7-99.5 %.
Using the Bayesian Estimation Applied to Multiple Species (BEAMS) framework and
its extension 'BEAMS with Bias Correction' (BBC), we produce a redshift-binned
Hubble diagram marginalised over contamination and corrected for selection
effects and we use it to constrain the dark energy equation-of-state, $w$.
Assuming a flat universe with Gaussian $\Omega_M$ prior of $0.311\pm0.010$, we
show that biases on $w$ are $<0.008$ when using SuperNNova and accounting for a
wide range of non-Ia SN models in the simulations. Systematic uncertainties
associated with contamination are estimated to be at most $\sigma_{w,
\mathrm{syst}}=0.004$. This compares to an expected statistical uncertainty of
$\sigma_{w,\mathrm{stat}}=0.039$ for the DES-SN sample, thus showing that
contamination is not a limiting uncertainty in our analysis. We also measure
biases due to contamination on $w_0$ and $w_a$ (assuming a flat universe), and
find these to be $<$0.009 in $w_0$ and $<$0.108 in $w_a$, hence 5 to 10 times
smaller than the statistical uncertainties expected from the DES-SN sample.

    ", Cosmology and Nongalactic Astrophysics,recurrent neural networks,The Dark Energy Survey Supernova Program: Cosmological biases from supernova photometric classification
"  Testing self-driving cars in different areas requires surrounding cars with
accordingly different driving styles such as aggressive or conservative styles.
A method of numerically measuring and differentiating human driving styles to
create a virtual driver with a certain driving style is in demand. However,
most methods for measuring human driving styles require thresholds or labels to
classify the driving styles, and some require additional questionnaires for
drivers about their driving attitude. These limitations are not suitable for
creating a large virtual testing environment. Driving models (DMs) simulate
human driving styles. Calibrating a DM makes the simulated driving behavior
closer to human-driving behavior, and enable the simulation of human-driving
cars. Conventional DM-calibrating methods do not take into account that the
parameters in a DM vary while driving. These ""fixed"" calibrating methods cannot
reflect an actual interactive driving scenario. In this paper, we propose a
DM-calibration method for measuring human driving styles to reproduce real
car-following behavior more accurately. The method includes 1) an objective
entropy weight method for measuring and clustering human driving styles, and 2)
online adaption of DM parameters based on deep learning by combining Bayesian
optimization (BO) and a gated recurrent unit neural network. We conducted
experiments to evaluate the proposed method, and the results indicate that it
can be easily used to measure human driver styles. The experiments also showed
that we can calibrate a corresponding DM in a virtual testing environment with
up to 26% more accuracy than with fixed calibration methods.

    ", Machine Learning,recurrent neural networks,Online Adaptation of Parameters using GRU-based Neural Network with BO for Accurate Driving Model
"  Hand pose estimation (HPE) can be used for a variety of human-computer
interaction applications such as gesture-based control for physical or
virtual/augmented reality devices. Recent works have shown that videos or
multi-view images carry rich information regarding the hand, allowing for the
development of more robust HPE systems. In this paper, we present the
Multi-View Video-Based 3D Hand (MuViHand) dataset, consisting of multi-view
videos of the hand along with ground-truth 3D pose labels. Our dataset includes
more than 402,000 synthetic hand images available in 4,560 videos. The videos
have been simultaneously captured from six different angles with complex
backgrounds and random levels of dynamic lighting. The data has been captured
from 10 distinct animated subjects using 12 cameras in a semi-circle topology
where six tracking cameras only focus on the hand and the other six fixed
cameras capture the entire body. Next, we implement MuViHandNet, a neural
pipeline consisting of image encoders for obtaining visual embeddings of the
hand, recurrent learners to learn both temporal and angular sequential
information, and graph networks with U-Net architectures to estimate the final
3D pose information. We perform extensive experiments and show the challenging
nature of this new dataset as well as the effectiveness of our proposed method.
Ablation studies show the added value of each component in MuViHandNet, as well
as the benefit of having temporal and sequential information in the dataset.

    ", Computer Vision and Pattern Recognition,recurrent neural networks,Multi-View Video-Based 3D Hand Pose Estimation
"  Currently, due to the advantages of light weight, simple deployment,
multi-environment support, short startup time, scalability, and easy migration,
container technology has been widely used in both cloud and edge/fog computing,
and addresses the problem of device heterogeneity in different computing
environments. On this basis, as one of the most popular container orchestration
and management systems, Kubernetes almost dominates the cloud environment.
However, since it is primarily designed for centralized resource management
scenarios where computing resources are sufficient, the system is unstable in
edge environments due to hardware limitations. Therefore, in order to realize
container orchestration in the cloud and edge/fog hybrid computing environment,
we propose a feasible approach to build a hybrid clustering based on K3s, which
solves the problem that virtual instances in different environments cannot be
connected due to IP addresses. We also propose three design patterns for
deploying the FogBus2 framework into hybrid environments, including 1) Host
Network Mode, 2) Proxy Server, and 3) Environment Variable.

    "," Distributed, Parallel, and Cluster Computing",clustering,Container Orchestration Techniques in Cloud and Edge/Fog Computing Environments
"  The AcOH${}^+$ molecular ion is identified as a prospective system to search
for $\mathcal{CP}$-violation effects. According to our study AcOH${}^+$ belongs
to the class of laser-coolable polyatomic molecular cations implying the large
coherence time in the experiments to study symmetry violating effects of
fundamental interactions. We perform both nuclear and high level relativistic
coupled cluster electronic structure calculations to express experimentally
measurable $\mathcal{T}$,$\mathcal{P}$-violating energy shift in terms of
fundamental quantities such as the nuclear magnetic quadrupole moment (MQM),
electron electric dipole moment ($e$EDM) and dimensionless scalar-pseudoscalar
nuclear-electron interaction constant. We further express nuclear MQM in terms
of the strength constants of $\mathcal{CP}$-violating nuclear forces: quantum
chromodynamics vacuum angle $\bar{\theta}$ and quark chromo-EDMs. The
equilibrium geometry of AcOH${}^+$ in the ground and the four lowest excited
electronic states was found to be linear. The calculated Franck-Condon factors
and transition dipole moments indicate that the laser cooling using optical
cycle involving the first excited state is possible for the trapped AcOH${}^+$
ions with the Doppler limit estimated to be~$\sim 4$~nK. The lifetime of the
(0,1$^1$,0) excited vibrational state considered as a working one for MQM and
$e$EDM search experiments is estimated to be $\sim 0.4$ sec.

    ", Atomic Physics,clustering,Laser-coolable AcOH$^+$ ion for $\mathcal{CP}$-violation searches
"  ISCEA (Infrared Satellite for Cosmic Evolution Astrophysics) is a small
astrophysics mission whose Science Goal is to discover how galaxies evolved in
the cosmic web of dark matter at cosmic noon. Its Science Objective is to
determine the history of star formation and its quenching in galaxies as a
function of local density and stellar mass when the Universe was 3-5 Gyrs old
(1.2<z<2.1). ISCEA is designed to test the Science Hypothesis that during the
period of cosmic noon, at 1.7 < z < 2.1, environmental quenching is the
dominant quenching mechanism for typical galaxies not only in clusters and
groups, but also in the extended cosmic web surrounding these structures. ISCEA
meets its Science Objective by making a 10% shot noise measurement of star
formation rate down to 6 solar masses per year using H-alpha out to a radius >
10 Mpc in each of 50 protocluster (cluster and cosmic web) fields at 1.2 < z <
2.1. ISCEA measures the star formation quenching factor in those fields, and
galaxy kinematics with a precision < 50 km/s to deduce the 3D spatial
distribution in each field. ISCEA will transform our understanding of galaxy
evolution at cosmic noon.
", Astrophysics of Galaxies,clustering,Illuminating Galaxy Evolution at Cosmic Noon with ISCEA: the Infrared Satellite for Cosmic Evolution Astrophysics
"  The $\mathrm{SU}(4)$ Heisenberg model on the honeycomb lattice is expected to
host a quantum spin-orbital liquid at low temperature with an astonishing
candidate material, $\alpha$-ZrCl$_3$. We employed the canonical thermal pure
quantum state method to investigate the finite-temperature phase of this model.
Exploiting the full symmetry of $\mathrm{SU}(4)$, the calculation up to a
24-site cluster, which is equivalent to 48 sites in the spin-1/2 language, is
possible. This state-of-the-art computation with large-scale parallelization
enables us to capture the thermodynamic properties of the $\mathrm{SU}(4)$
Heisenberg model on the honeycomb lattice. In particular, the specific heat
shows a characteristic peak-and-shoulder structure, which should be related to
the nature of the low-temperature quantum spin-orbital liquid phase. We also
discuss what can be concluded from the assumption that the ground state is
gapped and symmetric in view of the generalized Lieb-Schultz-Mattis theorem.

    ", Strongly Correlated Electrons,clustering,Thermodynamic signature of the $\mathrm{SU}(4)$ spin-orbital liquid and symmetry fractionalization from the Lieb-Schultz-Mattis theorem
"  The CaFe Project involves the study of the properties of the low ionization
emission lines (LILs) pertaining to the broad-line region (BLR) in active
galaxies. These emission lines, especially the singly-ionized iron (Fe II) in
the optical and the corresponding singly-ionized calcium (Ca II) in the
near-infrared (NIR) are found to show a strong correlation in their emission
strengths, i.e., with respect to the broad H$\beta$ emission line, the latter
also belonging to the same category of LILs. We outline the progress made in
the past years that has developed our understanding of the location and the
efficient production of these emission lines. We have yet to realize the full
potential of Ca II emission and its connection to the black hole and the BLR
parameters which can be useful in - (1) the classification of Type-1 active
galactic nuclei (AGNs) in the context of the main sequence of quasars, (2) to
realize an updated radius-luminosity relation wherein the inclusion of the
strength of this emission line with respect to H$\beta$ can be an effective
tracer of the accretion rate of the AGN, and, (3) the close connection of Ca II
to Fe II can allow us to use the ratio of the two species to quantify the
chemical evolution in these active galaxies across cosmic time. In this paper,
we use our current sample and utilize a non-linear dimensionality reduction
technique - t-distributed Stochastic Neighbour Embedding (tSNE), to understand
the clustering in our dataset based on direct observables.

    ", Astrophysics of Galaxies,clustering,Optical Fe II and near-infrared Ca II emission in active galaxies
"  We present CpT: Convolutional point Transformer - a novel deep learning
architecture for dealing with the unstructured nature of 3D point cloud data.
CpT is an improvement over existing attention-based Convolutions Neural
Networks as well as previous 3D point cloud processing transformers. It
achieves this feat due to its effectiveness in creating a novel and robust
attention-based point set embedding through a convolutional projection layer
crafted for processing dynamically local point set neighbourhoods. The
resultant point set embedding is robust to the permutations of the input
points. Our novel CpT block builds over local neighbourhoods of points obtained
via a dynamic graph computation at each layer of the networks' structure. It is
fully differentiable and can be stacked just like convolutional layers to learn
global properties of the points. We evaluate our model on standard benchmark
datasets such as ModelNet40, ShapeNet Part Segmentation, and the S3DIS 3D
indoor scene semantic segmentation dataset to show that our model can serve as
an effective backbone for various point cloud processing tasks when compared to
the existing state-of-the-art approaches.

    ", Computer Vision and Pattern Recognition,convolutional neural networks,CpT: Convolutional Point Transformer for 3D Point Cloud Processing
"  Incorporating group symmetry directly into the learning process has proved to
be an effective guideline for model design. By producing features that are
guaranteed to transform covariantly to the group actions on the inputs,
group-equivariant convolutional neural networks (G-CNNs) achieve significantly
improved generalization performance in learning tasks with intrinsic symmetry.
General theory and practical implementation of G-CNNs have been studied for
planar images under either rotation or scaling transformation, but only
individually. We present, in this paper, a roto-scale-translation equivariant
CNN (RST-CNN), that is guaranteed to achieve equivariance jointly over these
three groups via coupled group convolutions. Moreover, as symmetry
transformations in reality are rarely perfect and typically subject to input
deformation, we provide a stability analysis of the equivariance of
representation to input distortion, which motivates the truncated expansion of
the convolutional filters under (pre-fixed) low-frequency spatial modes. The
resulting model provably achieves deformation-robust RST equivariance, i.e.,
the RST symmetry is still ""approximately"" preserved when the transformation is
""contaminated"" by a nuisance data deformation, a property that is especially
important for out-of-distribution generalization. Numerical experiments on
MNIST, Fashion-MNIST, and STL-10 demonstrate that the proposed model yields
remarkable gains over prior arts, especially in the small data regime where
both rotation and scaling variations are present within the data.

    ", Computer Vision and Pattern Recognition,convolutional neural networks,Deformation Robust Roto-Scale-Translation Equivariant CNNs
"  Wet weather makes water film over the road and that film causes lower
friction between tire and road surface. When a vehicle passes the low-friction
road, the accident can occur up to 35% higher frequency than a normal condition
road. In order to prevent accidents as above, identifying the road condition in
real-time is essential. Thus, we propose a convolutional auto-encoder-based
anomaly detection model for taking both less computational resources and
achieving higher anomaly detection performance. The proposed model adopts a
non-compression method rather than a conventional bottleneck structured
auto-encoder. As a result, the computational cost of the neural network is
reduced up to 1 over 25 compared to the conventional models and the anomaly
detection performance is improved by up to 7.72%. Thus, we conclude the
proposed model as a cutting-edge algorithm for real-time anomaly detection.

    ", Computer Vision and Pattern Recognition,convolutional neural networks,Efficient Non-Compression Auto-Encoder for Driving Noise-based Road Surface Anomaly Detection
"  Recent improvements in convolutional neural network (CNN)-based single image
super-resolution (SISR) methods rely heavily on fabricating network
architectures, rather than finding a suitable training algorithm other than
simply minimizing the regression loss. Adapting knowledge distillation (KD) can
open a way for bringing further improvement for SISR, and it is also beneficial
in terms of model efficiency. KD is a model compression method that improves
the performance of Deep Neural Networks (DNNs) without using additional
parameters for testing. It is getting the limelight recently for its competence
at providing a better capacity-performance tradeoff. In this paper, we propose
a novel feature distillation (FD) method which is suitable for SISR. We show
the limitations of the existing FitNet-based FD method that it suffers in the
SISR task, and propose to modify the existing FD algorithm to focus on local
feature information. In addition, we propose a teacher-student-difference-based
soft feature attention method that selectively focuses on specific pixel
locations to extract feature information. We call our method local-selective
feature distillation (LSFD) and verify that our method outperforms conventional
FD methods in SISR problems.

    ", Image and Video Processing,convolutional neural networks,Local-Selective Feature Distillation for Single Image Super-Resolution
"  Musicologists use various labels to classify similar music styles under a
shared title. But, non-specialists may categorize music differently. That could
be through finding patterns in harmony, instruments, and form of the music.
People usually identify a music genre solely by listening, but now computers
and Artificial Intelligence (AI) can automate this process. The work on
applying AI in the classification of types of music has been growing recently,
but there is no evidence of such research on the Kurdish music genres. In this
research, we developed a dataset that contains 880 samples from eight different
Kurdish music genres. We evaluated two machine learning approaches, a Deep
Neural Network (DNN) and a Convolutional Neural Network (CNN), to recognize the
genres. The results showed that the CNN model outperformed the DNN by achieving
92% versus 90% accuracy.

    ", Sound,convolutional neural networks,Comparing the Accuracy of Deep Neural Networks (DNN) and Convolutional Neural Network (CNN) in Music Genre Recognition (MGR): Experiments on Kurdish Music
"  We study the training of Vision Transformers for semi-supervised image
classification. Transformers have recently demonstrated impressive performance
on a multitude of supervised learning tasks. Surprisingly, we find Vision
Transformers perform poorly on a semi-supervised ImageNet setting. In contrast,
Convolutional Neural Networks (CNNs) achieve superior results in small labeled
data regime. Further investigation reveals that the reason is CNNs have strong
spatial inductive bias. Inspired by this observation, we introduce a joint
semi-supervised learning framework, Semiformer, which contains a Transformer
branch, a Convolutional branch and a carefully designed fusion module for
knowledge sharing between the branches. The Convolutional branch is trained on
the limited supervised data and generates pseudo labels to supervise the
training of the transformer branch on unlabeled data. Extensive experiments on
ImageNet demonstrate that Semiformer achieves 75.5\% top-1 accuracy,
outperforming the state-of-the-art. In addition, we show Semiformer is a
general framework which is compatible with most modern Transformer and
Convolutional neural architectures.

    ", Computer Vision and Pattern Recognition,convolutional neural networks,Semi-Supervised Vision Transformers
"  There are limited works showing the efficacy of unsupervised
Out-of-Distribution (OOD) methods on complex medical data. Here, we present
preliminary findings of our unsupervised OOD detection algorithm, SimCLR-LOF,
as well as a recent state of the art approach (SSD), applied on medical images.
SimCLR-LOF learns semantically meaningful features using SimCLR and uses LOF
for scoring if a test sample is OOD. We evaluated on the multi-source
International Skin Imaging Collaboration (ISIC) 2019 dataset, and show results
that are competitive with SSD as well as with recent supervised approaches
applied on the same data.

    ", Image and Video Processing,unsupervised learning,Unsupervised Approaches for Out-Of-Distribution Dermoscopic Lesion Detection
